车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
奔驰C级,南充,29,中型车,33.48-38.06,燃油车,4
Model 3,株洲,18,中型车,23.19-33.95,新能源,7
轩逸,牡丹江,29,紧凑型车,10.86-17.49,燃油车,10
豹5,绵阳,29,SUV,23.98-32.98,燃油车,2
长安启源A07,泸州,29,中大型车,11.99-17.69,燃油车,12
奔驰C级,泸州,29,中型车,33.48-38.06,燃油车,4
深蓝S07,驻马店,18,SUV,14.99-20.79,新能源,9
捷途旅行者,六安,29,SUV,13.99-23.99,燃油车,2
途岳,娄底,29,SUV,12.59-21.66,燃油车,2
RAV4荣放,娄底,29,SUV,16.98-26.38,燃油车,2
小米SU7 Ultra,珠海,18,中大型车,52.99-81.49,新能源,11
智界R7,珠海,18,SUV,24.98-33.98,新能源,9
问界M7,珠海,18,SUV,24.98-32.98,新能源,9
本田CR-V,柳州,29,SUV,18.59-26.39,燃油车,2
钛3,临沂,29,SUV,13.38-19.38,燃油车,2
豹5,临沂,29,SUV,23.98-32.98,燃油车,2
五菱星辰,临沂,29,SUV,6.88-10.98,燃油车,2
捷达VS5,临汾,29,SUV,8.79-12.19,燃油车,2
宝马3系,连云港,29,中型车,29.99-39.99,燃油车,4
豹5,廊坊,29,SUV,23.98-32.98,燃油车,2
红旗H5,廊坊,29,中型车,15.98-22.58,燃油车,4
腾势N9,中山,18,SUV,38.98-44.98,新能源,9
缤越,廊坊,29,SUV,6.68-10.38,燃油车,2
问界M5,中山,18,SUV,22.98-27.98,新能源,9
极氪001,中山,18,中大型车,25.90-32.90,新能源,11
博越L,喀什,29,SUV,9.99-14.97,燃油车,2
北京BJ30,喀什,29,SUV,9.99-13.69,燃油车,2
探岳,锦州,29,SUV,19.89-25.99,燃油车,2
帝豪,锦州,29,紧凑型车,6.29-14.98,燃油车,3
朗逸,锦州,29,紧凑型车,8.00-15.19,燃油车,3
问界M8,肇庆,18,SUV,35.98-44.98,新能源,9
帝豪,鸡西,29,紧凑型车,6.29-14.98,燃油车,3
星愿,酒泉,29,小型车,6.88-9.78,燃油车,3
eπ008,济宁,29,SUV,17.86-20.36,燃油车,2
宝马X5,济宁,29,SUV,61.50-83.00,燃油车,2
宋L DM-i,漳州,18,SUV,13.58-17.58,新能源,9
欧拉好猫,济宁,29,小型车,10.58-13.58,燃油车,3
五菱宏光V,济宁,29,MPV,4.31-5.45,燃油车,1
吉利几何A,济宁,29,紧凑型车,14.38-20.78,燃油车,3
MG5,济宁,29,紧凑型车,6.79-9.99,燃油车,3
帝豪,金华,29,紧凑型车,6.29-14.98,燃油车,3
途观L,荆州,29,SUV,18.68-26.68,燃油车,2
帕萨特,晋城,29,中型车,16.45-23.99,燃油车,5
零跑B10,枣庄,18,SUV,9.98-14.98,新能源,9
熊猫,吉林,29,微型车,2.99-5.39,燃油车,1
帝豪,吉林,29,紧凑型车,6.29-14.98,燃油车,3
凯美瑞,吉林,29,中型车,17.18-25.98,燃油车,13
秦L,玉溪,18,中型车,9.98-15.38,新能源,7
瑞虎8 PRO,嘉兴,29,SUV,11.99-16.69,燃油车,2
传祺M8,嘉兴,29,MPV,17.98-34.28,燃油车,1
长安欧尚X5 PLUS,江门,29,SUV,9.19-11.49,燃油车,2
元UP,云浮,18,SUV,9.68-11.98,新能源,9
途岳,吉安,29,SUV,12.59-21.66,燃油车,2
唐L,岳阳,18,SUV,22.98-28.98,新能源,9
零跑C11,岳阳,18,SUV,14.88-20.98,新能源,9
宝马i3,湖州,29,中型车,35.39-41.39,燃油车,4
深蓝S05,永州,18,SUV,11.99-14.99,新能源,9
奔驰GLC,湖州,29,SUV,42.78-53.13,燃油车,2
AION Y,永州,18,SUV,9.98-14.58,新能源,9
瑞虎5x,呼伦贝尔,29,SUV,5.99-9.99,燃油车,2
昂科威Plus,葫芦岛,29,SUV,22.99-25.99,燃油车,2
坦克500新能源,榆林,18,SUV,33.50-36.38,新能源,9
岚图梦想家,榆林,18,MPV,32.99-63.99,新能源,1
雷克萨斯NX,惠州,29,SUV,31.88-54.88,燃油车,2
捷途大圣,黄石,29,SUV,9.39-13.68,燃油车,2
轩逸,淮南,29,紧凑型车,10.86-17.49,燃油车,10
元UP,益阳,18,SUV,9.68-11.98,新能源,9
逸动,淮北,29,紧凑型车,7.29-9.69,燃油车,3
海豹05 DM-i,营口,18,紧凑型车,7.98-10.38,新能源,0
理想L6,伊犁,18,SUV,24.98-27.98,新能源,9
海鸥,伊犁,18,小型车,6.98-8.58,新能源,9
朗逸,淮北,29,紧凑型车,8.00-15.19,燃油车,3
汉L,宜春,18,中大型车,20.98-27.98,新能源,11
极氪007GT,宜昌,18,中型车,20.29-26.29,新能源,7
宝马3系,淮北,29,中型车,29.99-39.99,燃油车,4
五菱宏光S3,红河,29,SUV,5.98-8.28,燃油车,2
本田CR-V,河源,29,SUV,18.59-26.39,燃油车,2
长安启源Q07,衡阳,29,SUV,12.98-17.18,燃油车,2
途岳,衡阳,29,SUV,12.59-21.66,燃油车,2
海豹06GT,宜宾,18,中型车,13.68-18.68,新能源,7
星越L,鹤岗,29,SUV,13.72-17.97,燃油车,2
问界M9,宜宾,18,SUV,46.98-56.98,新能源,9
锋兰达,邯郸,29,SUV,12.58-18.48,燃油车,2
唐新能源,宜宾,18,SUV,17.98-26.98,新能源,9
艾瑞泽8,贵港,29,紧凑型车,9.99-14.89,燃油车,3
逸动,贵港,29,紧凑型车,7.29-9.69,燃油车,3
凯美瑞,贵港,29,中型车,17.18-25.98,燃油车,13
长安启源A07,阜阳,29,中大型车,11.99-17.69,燃油车,12
五菱宏光新能源,烟台,18,MPV,6.88-7.38,新能源,11
长安CS75 PLUS,阜阳,29,SUV,11.39-14.99,燃油车,2
五菱宏光V,阜阳,29,MPV,4.31-5.45,燃油车,1
帝豪,阜阳,29,紧凑型车,6.29-14.98,燃油车,3
奥迪A4L,阜阳,29,中型车,28.98-40.08,燃油车,4
别克GL8新能源,扬州,18,MPV,24.99-41.99,新能源,1
轩逸,阜阳,29,紧凑型车,10.86-17.49,燃油车,10
长安欧尚X5 PLUS,阜新,29,SUV,9.19-11.49,燃油车,2
缤越,阜新,29,SUV,6.68-10.38,燃油车,2
元UP,阳泉,18,SUV,9.68-11.98,新能源,9
朗逸,阜新,29,紧凑型车,8.00-15.19,燃油车,3
问界M5,盐城,18,SUV,22.98-27.98,新能源,9
长安启源A07,佛山,29,中大型车,11.99-17.69,燃油车,12
宝马i3,佛山,29,中型车,35.39-41.39,燃油车,4
长安Lumin,恩施,29,微型车,3.79-6.59,燃油车,3
坦克300,鄂尔多斯,29,SUV,19.98-33.00,燃油车,2
帝豪,鄂尔多斯,29,紧凑型车,6.29-14.98,燃油车,3
豹8,东莞,29,SUV,37.98-42.38,燃油车,2
秦L,延安,18,中型车,9.98-15.38,新能源,7
深蓝S07,延安,18,SUV,14.99-20.79,新能源,9
海鸥,延安,18,小型车,6.98-8.58,新能源,9
唐新能源,延安,18,SUV,17.98-26.98,新能源,9
锋兰达,德州,29,SUV,12.58-18.48,燃油车,2
星越L,德州,29,SUV,13.72-17.97,燃油车,2
别克GL8,德州,29,MPV,23.29-47.39,燃油车,1
坦克300新能源,徐州,18,SUV,24.98-26.98,新能源,9
问界M7,徐州,18,SUV,24.98-32.98,新能源,9
星越L,德阳,29,SUV,13.72-17.97,燃油车,2
奔驰GLC,德阳,29,SUV,42.78-53.13,燃油车,2
捷途X70,大同,29,SUV,10.69-14.99,燃油车,2
凡尔赛C5 X,大庆,29,中型车,9.97-18.67,燃油车,4
北京BJ30,大庆,29,SUV,9.99-13.69,燃油车,2
唐新能源,许昌,18,SUV,17.98-26.98,新能源,9
长安启源Q07,丹东,29,SUV,12.98-17.18,燃油车,2
长安欧尚X5 PLUS,丹东,29,SUV,9.19-11.49,燃油车,2
海豹06新能源,宣城,18,中型车,9.98-13.98,新能源,7
传祺GS3,大连,29,SUV,8.58-11.18,燃油车,2
银河E5,滁州,29,SUV,11.28-14.88,燃油车,2
荣威i5,滁州,29,紧凑型车,6.89-9.09,燃油车,3
逸动,滁州,29,紧凑型车,7.29-9.69,燃油车,3
元PLUS,西双版纳,18,SUV,11.58-14.78,新能源,9
卡罗拉锐放,郴州,29,SUV,12.98-18.48,燃油车,2
皓影,郴州,29,SUV,18.59-26.39,燃油车,2
星越L,朝阳,29,SUV,13.72-17.97,燃油车,2
威兰达,常州,29,SUV,17.38-26.48,燃油车,2
奥迪Q3,常州,29,SUV,25.18-29.68,燃油车,2
本田CR-V,常州,29,SUV,18.59-26.39,燃油车,2
零跑C16,新乡,18,SUV,15.18-18.98,新能源,9
理想L7,新乡,18,SUV,30.18-35.98,新能源,9
长安启源Q07,长治,29,SUV,12.98-17.18,燃油车,2
凯美瑞,长治,29,中型车,17.18-25.98,燃油车,13
卡罗拉锐放,昌吉,29,SUV,12.98-18.48,燃油车,2
唐新能源,新乡,18,SUV,17.98-26.98,新能源,9
皇冠陆放,昌吉,29,SUV,27.78-35.28,燃油车,2
AION RT,邢台,18,紧凑型车,11.98-16.58,新能源,0
小鹏MONA M03,邢台,18,紧凑型车,11.98-15.58,新能源,0
阿维塔06,邢台,18,中型车,20.99-27.99,新能源,7
逍客,常德,29,SUV,12.59-17.49,燃油车,2
捷达VS7,沧州,29,SUV,10.79-14.39,燃油车,2
宝马X1,沧州,29,SUV,28.89-34.99,燃油车,2
雷克萨斯ES,沧州,29,中大型车,29.69-48.89,燃油车,12
瑞虎8 PRO,亳州,29,SUV,11.99-16.69,燃油车,2
长安启源Q07,滨州,29,SUV,12.98-17.18,燃油车,2
长安欧尚X5 PLUS,滨州,29,SUV,9.19-11.49,燃油车,2
长安CS75 PLUS,滨州,29,SUV,11.39-14.99,燃油车,2
小鹏G6,咸阳,18,SUV,17.68-27.69,新能源,9
捷途X70,滨州,29,SUV,10.69-14.99,燃油车,2
海豹05 DM-i,咸宁,18,紧凑型车,7.98-10.38,新能源,0
宋Pro新能源,咸宁,18,SUV,10.28-14.28,新能源,9
天籁,滨州,29,中型车,17.98-23.98,燃油车,4
宝马3系,滨州,29,中型车,29.99-39.99,燃油车,4
探岳,毕节,29,SUV,19.89-25.99,燃油车,2
长安CS75 PLUS,蚌埠,29,SUV,11.39-14.99,燃油车,2
轩逸,北海,29,紧凑型车,10.86-17.49,燃油车,10
长安启源Q07,巴彦淖尔,29,SUV,12.98-17.18,燃油车,2
凯美瑞,包头,29,中型车,17.18-25.98,燃油车,13
驱逐舰05,保定,29,紧凑型车,7.98-13.68,燃油车,3
元UP,梧州,18,SUV,9.68-11.98,新能源,9
逸动,白城,29,紧凑型车,7.29-9.69,燃油车,3
零跑T03,梧州,18,微型车,4.99-6.99,新能源,9
本田CR-V,安阳,29,SUV,18.59-26.39,燃油车,2
艾瑞泽8,安顺,29,紧凑型车,9.99-14.89,燃油车,3
星瑞,安顺,29,紧凑型车,9.97-14.57,燃油车,3
海豹,无锡,18,中型车,14.98-24.98,新能源,7
途昂,阿克苏,29,SUV,24.90-38.90,燃油车,2
逸动,阿克苏,29,紧凑型车,7.29-9.69,燃油车,3
伊兰特,阿克苏,29,紧凑型车,9.98-14.98,燃油车,3
捷达VA3,郑州,29,紧凑型车,6.58-9.48,燃油车,3
瑞虎9,银川,29,SUV,15.29-20.99,燃油车,2
秦PLUS,武威,18,紧凑型车,7.98-17.98,新能源,0
瑞虎8 PLUS,银川,29,SUV,10.99-16.29,燃油车,2
星瑞,银川,29,紧凑型车,9.97-14.57,燃油车,3
传祺M8,银川,29,MPV,17.98-34.28,燃油车,1
海豹06GT,芜湖,18,中型车,13.68-18.68,新能源,7
捷途山海T2,西宁,29,SUV,17.99-23.99,燃油车,2
捷途X70,西宁,29,SUV,10.69-14.99,燃油车,2
昂科威S,西安,29,SUV,19.69-22.29,燃油车,2
捷达VA7,西安,29,紧凑型车,9.98-12.98,燃油车,3
奥迪A7L,西安,29,中大型车,41.87-66.62,燃油车,12
库斯途,西安,29,MPV,16.98-22.08,燃油车,1
雷克萨斯RX,西安,29,SUV,38.00-61.90,燃油车,2
思域,乌鲁木齐,29,紧凑型车,12.99-18.79,燃油车,3
五菱宏光新能源,文山,18,MPV,6.88-7.38,新能源,1
瑞虎9,武汉,29,SUV,15.29-20.99,燃油车,2
元PLUS,文山,18,SUV,11.58-14.78,新能源,9
问界M9,威海,18,SUV,46.98-56.98,新能源,9
五菱荣光S,武汉,29,MPV,4.09-4.76,燃油车,1
沃尔沃XC90,武汉,29,SUV,63.89-78.19,燃油车,2
阿维塔06,潍坊,18,中型车,20.99-27.99,新能源,7
长安启源Q05,天津,29,SUV,9.69-12.79,燃油车,2
北京BJ30,天津,29,SUV,9.99-13.69,燃油车,2
小米SU7 Ultra,台州,18,中大型车,52.99-81.49,新能源,11
沃尔沃S60,天津,29,中型车,30.69-38.49,燃油车,4
一汽-大众CC,天津,29,中型车,22.49-29.99,燃油车,4
奥迪Q6,太原,29,SUV,46.76-61.56,燃油车,2
捷途X70,太原,29,SUV,10.69-14.99,燃油车,2
荣威D6,石家庄,29,紧凑型车,9.98-13.98,燃油车,3
秦PLUS,吐鲁番,18,紧凑型车,7.98-17.98,新能源,0
夏,石家庄,29,MPV,24.98-30.98,燃油车,1
长安UNI-V,石家庄,29,紧凑型车,10.89-13.99,燃油车,3
宋PLUS新能源,铜陵,18,SUV,13.58-18.08,新能源,9
库斯途,石家庄,29,MPV,16.98-22.08,燃油车,1
领克03,石家庄,29,紧凑型车,12.78-42.03,燃油车,3
瑞虎5x,石家庄,29,SUV,5.99-9.99,燃油车,2
欧萌达,沈阳,29,SUV,10.99-12.99,燃油车,2
探险者,沈阳,29,SUV,30.98-39.98,燃油车,2
凯迪拉克CT5,沈阳,29,中型车,28.99-34.59,燃油车,4
海豹05 DM-i,铁岭,18,紧凑型车,7.98-10.38,新能源,0
长安睿行M60,沈阳,29,MPV,5.49-6.62,燃油车,1
秦L,天水,18,中型车,9.98-15.38,新能源,7
海鸥,天水,18,小型车,6.98-8.58,新能源,9
大通G50,沈阳,29,MPV,8.68-14.98,燃油车,1
福特烈马,上海,29,SUV,29.98-49.88,燃油车,2
北京越野BJ40增程,唐山,18,SUV,17.98-29.98,新能源,9
Polestar 4,上海,29,SUV,33.80-39.99,燃油车,2
问界M5,唐山,18,SUV,22.98-27.98,新能源,9
Macan,上海,29,SUV,57.80-85.80,燃油车,2
逍客,上海,29,SUV,12.59-17.49,燃油车,2
极氪007GT,泰州,18,中型车,20.29-26.29,新能源,7
海豹06新能源,泰州,18,中型车,9.98-13.98,新能源,7
红旗HS5,南宁,29,SUV,18.38-24.98,燃油车,2
马自达CX-5,南宁,29,SUV,12.58-19.78,燃油车,2
悦意03,南京,29,SUV,7.98-12.29,燃油车,2
欧拉好猫,南京,29,小型车,10.58-13.58,燃油车,3
MINI,南京,29,小型车,23.38-31.98,燃油车,3
逍客,南京,29,SUV,12.59-17.49,燃油车,2
腾势D9,泰安,18,MPV,33.98-66.00,新能源,1
极狐 阿尔法S5,南昌,29,中型车,12.78-18.48,燃油车,4
零跑C11,泰安,18,SUV,14.88-20.98,新能源,9
唐新能源,泰安,18,SUV,17.98-26.98,新能源,9
雷克萨斯RX,南昌,29,SUV,38.00-61.90,燃油车,2
汉兰达,泰安,18,SUV,24.98-34.88,新能源,9
哈弗大狗,拉萨,29,SUV,11.99-16.79,燃油车,2
奕炫,拉萨,29,紧凑型车,6.49-10.68,燃油车,3
银河L6,昆明,29,紧凑型车,8.28-14.98,燃油车,3
哈弗二代大狗,昆明,29,SUV,13.58-15.68,燃油车,2
锐胜王牌M7,昆明,29,MPV,6.18-15.38,燃油车,1
长安欧尚X7,昆明,29,SUV,7.77-12.99,燃油车,2
马自达3 昂克赛拉,昆明,29,紧凑型车,8.99-18.99,燃油车,3
长安CS75,昆明,29,SUV,10.29-11.99,燃油车,2
君越,昆明,29,中型车,17.99-23.99,燃油车,4
智己LS6,济南,29,SUV,23.99-30.29,燃油车,2
红旗H9,济南,29,中大型车,30.98-86.00,燃油车,12
T-ROC探歌,济南,29,SUV,15.89-17.87,燃油车,2
凯迪拉克XT5,济南,29,SUV,35.27-45.99,燃油车,2
索纳塔,济南,29,中型车,13.98-20.58,燃油车,4
捷途自由者,呼和浩特,29,SUV,12.49-15.49,燃油车,2
银河L6,呼和浩特,29,紧凑型车,8.28-14.98,燃油车,3
领克08 EM-P,呼和浩特,29,SUV,18.58-24.88,燃油车,2
亚洲龙,呼和浩特,29,中型车,17.88-27.98,燃油车,4
宋L DM-i,松原,18,SUV,13.58-17.58,新能源,9
捷途自由者,合肥,29,SUV,12.49-15.49,燃油车,2
风云T8,合肥,29,SUV,10.39-15.09,燃油车,2
捷途旅行者,合肥,29,SUV,13.99-23.99,燃油车,2
海豹05 DM-i,朔州,18,紧凑型车,7.98-10.38,新能源,0
哈弗H6,合肥,29,SUV,9.89-14.69,燃油车,2
昊铂HT,杭州,29,SUV,21.39-32.99,燃油车,2
深蓝L07,深圳,18,中型车,15.19-17.39,新能源,7
极狐 阿尔法T5(ARCFOX αT5),杭州,29,SUV,11.98-19.98,燃油车,2
柯珞克,杭州,29,SUV,14.99-15.49,燃油车,2
马自达CX-5,杭州,29,SUV,12.58-19.78,燃油车,2
一汽-大众CC,杭州,29,中型车,22.49-29.99,燃油车,4
熊猫,海口,29,微型车,2.99-5.39,燃油车,1
传祺向往S7,哈尔滨,29,SUV,17.58-22.98,燃油车,2
智界R7,邵阳,18,SUV,24.98-33.98,新能源,9
问界M5,邵阳,18,SUV,22.98-27.98,新能源,9
长安睿行M60,哈尔滨,29,MPV,5.49-6.62,燃油车,1
长安CS75,哈尔滨,29,SUV,10.29-11.99,燃油车,2
AION RT,韶关,18,紧凑型车,11.98-16.58,新能源,0
瑞虎9,贵阳,29,SUV,15.29-20.99,燃油车,2
汉,韶关,18,中大型车,16.58-25.98,新能源,11
宝马X1,贵阳,29,SUV,28.89-34.99,燃油车,2
唐L,汕头,18,SUV,22.98-28.98,新能源,9
荣威D7,广州,29,中型车,12.38-21.98,燃油车,4
宝马iX3,广州,29,SUV,40.50-44.50,燃油车,2
海豹05 DM-i,上饶,18,紧凑型车,7.98-10.38,新能源,0
海豹06GT,上饶,18,中型车,13.68-18.68,新能源,7
奕炫,广州,29,紧凑型车,6.49-10.68,燃油车,10
奔腾B70,广州,29,中型车,9.88-14.49,燃油车,4
捷途自由者,福州,29,SUV,12.49-15.49,燃油车,2
T-ROC探歌,福州,29,SUV,15.89-17.87,燃油车,2
唐L,商丘,18,SUV,22.98-28.98,新能源,9
思域,重庆,29,紧凑型车,12.99-18.79,燃油车,3
哈弗猛龙新能源,商丘,18,SUV,16.58-19.28,新能源,9
零跑C11,商丘,18,SUV,14.88-20.98,新能源,9
奔驰CLE,成都,29,跑车,45.76-59.63,燃油车,13
五菱佳辰,成都,29,MPV,6.88-11.58,燃油车,1
凌派,成都,29,紧凑型车,11.98-16.98,燃油车,3
坦克300,长沙,29,SUV,19.98-33.00,燃油车,2
海豚,三门峡,18,小型车,9.98-12.98,新能源,9
问界M8,日照,18,SUV,35.98-44.98,新能源,9
海豹05 DM-i,日照,18,紧凑型车,7.98-10.38,新能源,0
腾势D9,日照,18,MPV,33.98-66.00,新能源,1
沃尔沃XC90,长沙,29,SUV,63.89-78.19,燃油车,2
别克GL8,长沙,29,MPV,23.29-47.39,燃油车,1
蒙迪欧,长沙,29,中型车,14.98-22.98,燃油车,4
海狮05 EV,衢州,18,SUV,11.78-13.78,新能源,9
捷途山海T2,长春,29,SUV,17.99-23.99,燃油车,2
瑞虎7,长春,29,SUV,7.49-13.99,燃油车,2
智己L6,北京,28,中大型车,21.99-34.59,燃油车,12
探陆,北京,28,SUV,23.98-30.18,燃油车,2
别克GL8新能源,泉州,18,MPV,24.99-41.99,新能源,1
飞行家,北京,28,SUV,50.08-76.38,燃油车,2
宝马M2,北京,28,跑车,59.90-60.80,燃油车,3
奔驰S级,北京,28,大型车,96.26-204.26,燃油车,3
捷途旅行者,遵义,28,SUV,13.99-23.99,燃油车,2
捷达VS5,遵义,28,SUV,8.79-12.19,燃油车,2
奥迪Q5L,遵义,28,SUV,34.98-48.88,燃油车,2
哈弗H6,遵义,28,SUV,9.89-14.69,燃油车,2
北京BJ30,株洲,28,SUV,9.99-13.69,燃油车,2
宋Pro新能源,钦州,18,SUV,10.28-14.28,新能源,9
星越L,珠海,28,SUV,13.72-17.97,燃油车,2
雅阁,周口,28,中型车,17.98-23.88,燃油车,4
豹5,中山,28,SUV,23.98-32.98,燃油车,2
唐新能源,清远,18,SUV,17.98-26.98,新能源,9
宋PLUS新能源,庆阳,18,SUV,13.58-18.08,新能源,9
马自达3 昂克赛拉,中山,28,紧凑型车,8.99-18.99,燃油车,3
艾瑞泽8,肇庆,28,紧凑型车,9.99-14.89,燃油车,3
奇瑞iCAR V23,湛江,28,SUV,9.98-14.98,燃油车,2
星瑞,张家口,28,紧凑型车,9.97-14.57,燃油车,3
欧诺S,张家口,28,MPV,4.69-5.44,燃油车,1
荣威i5,枣庄,28,紧凑型车,6.89-9.09,燃油车,3
瑞虎8 PRO,运城,28,SUV,11.99-16.69,燃油车,2
宋PLUS新能源,黔西南,18,SUV,13.58-18.08,新能源,9
AION S,黔西南,18,紧凑型车,13.98-17.98,新能源,0
卡罗拉锐放,玉林,28,SUV,12.98-18.48,燃油车,2
雅阁,岳阳,28,中型车,17.98-23.88,燃油车,4
锋兰达,永州,28,SUV,12.58-18.48,燃油车,2
宝马3系,永州,28,中型车,29.99-39.99,燃油车,4
奕跑,榆林,28,SUV,6.98-8.38,燃油车,2
凯美瑞,榆林,28,中型车,17.18-25.98,燃油车,13
途岳,益阳,28,SUV,12.59-21.66,燃油车,2
逸动,益阳,28,紧凑型车,7.29-9.69,燃油车,3
海豹06新能源,莆田,18,中型车,9.98-13.98,新能源,7
RAV4荣放,宜春,28,SUV,16.98-26.38,燃油车,2
Model 3,莆田,18,中型车,23.19-33.95,新能源,7
宝马3系,宜春,28,中型车,29.99-39.99,燃油车,4
欧萌达,宜昌,28,SUV,10.99-12.99,燃油车,2
探岳,宜宾,28,SUV,19.89-25.99,燃油车,2
T-ROC探歌,烟台,28,SUV,15.89-17.87,燃油车,2
亚洲龙,扬州,28,中型车,17.88-27.98,燃油车,4
逸动,扬州,28,紧凑型车,7.29-9.69,燃油车,3
迈腾,扬州,28,中型车,17.49-24.69,燃油车,6
熊猫,阳泉,28,微型车,2.99-5.39,燃油车,1
哈弗H6,阳泉,28,SUV,9.89-14.69,燃油车,2
宋PLUS新能源,宁德,18,SUV,13.58-18.08,新能源,9
迈腾,阳泉,28,中型车,17.49-24.69,燃油车,6
雅阁,盐城,28,中型车,17.98-23.88,燃油车,4
迈腾,延边,28,中型车,17.49-24.69,燃油车,6
锋兰达,徐州,28,SUV,12.58-18.48,燃油车,2
凯美瑞,许昌,28,中型车,17.18-25.98,燃油车,13
途岳,宣城,28,SUV,12.59-21.66,燃油车,2
秦L,内江,18,中型车,9.98-15.38,新能源,7
途观L,宣城,28,SUV,18.68-26.68,燃油车,2
五菱缤果,西双版纳,28,小型车,5.68-8.88,燃油车,3
途岳,信阳,28,SUV,12.59-21.66,燃油车,2
哈弗H6,信阳,28,SUV,9.89-14.69,燃油车,2
奥迪A6L,新乡,28,中大型车,42.79-65.68,燃油车,12
阿维塔07,南通,18,SUV,21.99-28.99,新能源,9
悦意03,邢台,28,SUV,7.98-12.29,燃油车,2
长安CS75 PLUS,邢台,28,SUV,11.39-14.99,燃油车,2
蔚来EC6,南通,18,SUV,35.80-41.60,新能源,9
瑞虎3x,邢台,28,SUV,4.99-8.49,燃油车,2
奥德赛,邢台,28,MPV,23.58-43.98,燃油车,1
RAV4荣放,兴安盟,28,SUV,16.98-26.38,燃油车,2
长安启源Q07,咸阳,28,SUV,12.98-17.18,燃油车,2
锋兰达,咸宁,28,SUV,12.58-18.48,燃油车,2
元UP,南充,18,SUV,9.68-11.98,新能源,9
理想L7,南充,18,SUV,30.18-35.98,新能源,9
奥迪Q5L,襄阳,28,SUV,34.98-48.88,燃油车,2
海豚,南充,18,小型车,9.98-12.98,新能源,9
奇瑞iCAR 03,厦门,28,SUV,10.98-16.98,燃油车,2
哈弗H6,厦门,28,SUV,9.89-14.69,燃油车,2
奥迪A6L,厦门,28,中大型车,42.79-65.68,燃油车,12
长安启源Q07,吴忠,28,SUV,12.98-17.18,燃油车,2
极氪007GT,绵阳,18,中型车,20.29-26.29,新能源,7
博越L,吴忠,28,SUV,9.99-14.97,燃油车,2
T-ROC探歌,无锡,28,SUV,15.89-17.87,燃油车,2
昂科威Plus,武威,28,SUV,22.99-25.99,燃油车,2
汉,梅州,18,中大型车,16.58-25.98,新能源,11
君威,温州,28,中型车,15.98-17.58,燃油车,4
五菱缤果,威海,28,小型车,5.68-8.88,燃油车,3
五菱宏光V,威海,28,MPV,4.31-5.45,燃油车,1
捷途X70,威海,28,SUV,10.69-14.99,燃油车,2
零跑B10,茂名,18,SUV,9.98-14.98,新能源,9
帕萨特,威海,28,中型车,16.45-23.99,燃油车,5
瑞虎8 PRO,潍坊,28,SUV,11.99-16.69,燃油车,2
宋L DM-i,马鞍山,18,SUV,13.58-17.58,新能源,9
奔腾小马,台州,28,微型车,2.49-5.39,燃油车,5
豹5,台州,28,SUV,23.98-32.98,燃油车,2
QQ冰淇淋,台州,28,微型车,2.99-5.69,燃油车,5
宋L DM-i,吕梁,18,SUV,13.58-17.58,新能源,9
宋Pro新能源,吕梁,18,SUV,10.28-14.28,新能源,9
长安UNI-V,台州,28,紧凑型车,10.89-13.99,燃油车,3
赛那SIENNA,台州,28,MPV,29.98-41.18,燃油车,1
途观L,铜陵,28,SUV,18.68-26.68,燃油车,2
星愿,通辽,28,小型车,6.88-9.78,燃油车,3
宋L DM-i,泸州,18,SUV,13.58-17.58,新能源,9
海豚,泸州,18,小型车,9.98-12.98,新能源,9
汉,泸州,18,中大型车,16.58-25.98,新能源,11
锋兰达,通辽,28,SUV,12.58-18.48,燃油车,2
坦克400新能源,洛阳,18,SUV,27.98-28.98,新能源,9
逸动,通化,28,紧凑型车,7.29-9.69,燃油车,3
逸动,天水,28,紧凑型车,7.29-9.69,燃油车,3
宝马X5,泰州,28,SUV,61.50-83.00,燃油车,2
锋兰达,泰州,28,SUV,12.58-18.48,燃油车,2
皓瀚,苏州,28,SUV,8.99-13.69,燃油车,2
捷途山海T2,苏州,28,SUV,17.99-23.99,燃油车,2
欧拉好猫,苏州,28,小型车,10.58-13.58,燃油车,2
荣威i5,遂宁,28,紧凑型车,6.89-9.09,燃油车,3
皓影,绥化,28,SUV,18.59-26.39,燃油车,2
AION UT,漯河,18,小型车,6.98-10.18,新能源,9
帝豪,绥化,28,紧凑型车,6.29-14.98,燃油车,3
宝来,松原,28,紧凑型车,11.29-14.39,燃油车,3
哈弗H6,四平,28,SUV,9.89-14.69,燃油车,2
速腾,四平,28,紧凑型车,12.79-17.29,燃油车,3
宋PLUS新能源,龙岩,18,SUV,13.58-18.08,新能源,9
帝豪,十堰,28,紧凑型车,6.29-14.98,燃油车,3
宋Pro新能源,龙岩,18,SUV,10.28-14.28,新能源,9
速腾,十堰,28,紧凑型车,12.79-17.29,燃油车,3
问界M8,柳州,18,SUV,35.98-44.98,新能源,9
探险者,深圳,28,SUV,30.98-39.98,燃油车,2
问界M9,柳州,18,SUV,46.98-56.98,新能源,9
奥德赛,深圳,28,MPV,23.58-43.98,燃油车,1
宝来,深圳,28,紧凑型车,11.29-14.39,燃油车,3
赛那SIENNA,绍兴,28,MPV,29.98-41.18,燃油车,1
领克06,绍兴,28,SUV,10.86-13.26,燃油车,2
凯迪拉克CT5,绍兴,28,中型车,28.99-34.59,燃油车,4
